iter	Logloss
0	0.6747334004
1	0.6598320168
2	0.6457205033
3	0.634013073
4	0.6234856767
5	0.6137212492
6	0.6047174281
7	0.5972181922
8	0.5905298277
9	0.5841906833
10	0.5787690024
11	0.5732666905
12	0.5689530741
13	0.5644401224
14	0.5612994875
15	0.5577089329
16	0.5543601682
17	0.5517844576
18	0.5492068381
19	0.5470287767
20	0.5455366604
21	0.5435453055
22	0.5419653493
23	0.5404873287
24	0.5390791641
25	0.5378577532
26	0.5368961191
27	0.5356744663
28	0.5347066508
29	0.5339962659
30	0.5333241513
31	0.5326712596
32	0.5321361518
33	0.5315465241
34	0.5311547532
35	0.5306322403
36	0.5303012919
37	0.5297538167
38	0.529319709
39	0.5290164332
40	0.5286560279
41	0.5284267709
42	0.5280886007
43	0.5277873579
44	0.5275398988
45	0.5272116727
46	0.5271142545
47	0.5269106206
48	0.5268267836
49	0.5265734148
50	0.5263272072
51	0.5260934157
52	0.5258794525
53	0.5257624577
54	0.5255504466
55	0.5253561687
56	0.5251834707
57	0.524961915
58	0.524851864
59	0.5247092175
60	0.5245315593
61	0.5243264152
62	0.5241974042
63	0.5240858162
64	0.5239324745
65	0.523760683
66	0.5236408205
67	0.523571218
68	0.5234926151
69	0.5234472925
70	0.5233814638
71	0.5232840092
72	0.5232393893
73	0.5230976464
74	0.522973271
75	0.5228149845
76	0.5227205637
77	0.5226734045
78	0.5225685681
79	0.522526791
80	0.5224727529
81	0.5223877944
82	0.5222709571
83	0.5222133762
84	0.5221510677
85	0.5220865461
86	0.5219504527
87	0.5218703799
88	0.5217890415
89	0.5217243132
90	0.5215817161
91	0.5215230211
92	0.5214615054
93	0.5214077218
94	0.5213335383
95	0.5212677044
96	0.5211979389
97	0.5211786917
98	0.5210542873
99	0.5210473144
100	0.5209774475
101	0.5209385034
102	0.5208638674
103	0.5208212894
104	0.5207816554
105	0.5207149915
106	0.5206740083
107	0.5206033685
108	0.5205760514
109	0.5204945466
110	0.5204381668
111	0.5203744925
112	0.5203341605
113	0.5202359625
114	0.5201319094
115	0.5200747673
116	0.5199457068
117	0.5198314491
118	0.5196986137
119	0.5196536793
120	0.5196064112
121	0.5195333543
122	0.519483199
123	0.5194106154
124	0.5193421327
125	0.5192914875
126	0.5192124001
127	0.5191774571
128	0.5191360834
129	0.5190457321
130	0.518989259
131	0.5188886952
132	0.5188576443
133	0.5188094595
134	0.518784058
135	0.5187630818
136	0.5186706545
137	0.5186193759
138	0.5185612286
139	0.5185257531
140	0.5184936182
141	0.518467432
142	0.5184416474
143	0.5183459272
144	0.5183222379
145	0.5182966837
146	0.5181922173
147	0.5181431291
148	0.5180723969
149	0.5179959694
150	0.5179477083
151	0.5179258279
152	0.5178090005
153	0.5176817375
154	0.5175936784
155	0.5174890931
156	0.5174875509
157	0.5174453857
158	0.5173806545
159	0.5173671149
160	0.5173207414
161	0.5172677471
162	0.5171298116
163	0.5170502322
164	0.5170075331
165	0.5169594151
166	0.5169494216
167	0.5169337705
168	0.5168902469
169	0.5167983305
170	0.5166531451
171	0.5166171871
172	0.5165723914
173	0.5164582521
174	0.5164036794
175	0.5163533288
176	0.516298117
177	0.5162827576
178	0.5162610569
179	0.5161756954
180	0.5161266294
