iter	Passed	Remaining
0	230	114984
1	314	78277
2	375	62159
3	453	56232
4	534	52893
5	617	50831
6	698	49205
7	779	47924
8	845	46107
9	918	45013
10	995	44233
11	1070	43534
12	1144	42890
13	1212	42086
14	1275	41225
15	1339	40508
16	1399	39776
17	1465	39251
18	1532	38798
19	1599	38397
20	1664	37964
21	1728	37561
22	1813	37604
23	1887	37434
24	1962	37291
25	2031	37028
26	2092	36655
27	2152	36288
28	2216	36004
29	2281	35748
30	2349	35545
31	2410	35255
32	2492	35268
33	2574	35287
34	2637	35044
35	2683	34583
36	2743	34328
37	2812	34192
38	2881	34055
39	2958	34020
40	3023	33848
41	3088	33679
42	3151	33497
43	3229	33470
44	3294	33312
45	3376	33324
46	3429	33057
47	3500	32959
48	3543	32614
49	3601	32417
50	3665	32270
51	3727	32116
52	3790	31970
53	3868	31952
54	3937	31854
55	4001	31724
56	4074	31669
57	4141	31562
58	4200	31397
59	4278	31378
60	4352	31322
61	4420	31232
62	4482	31095
63	4543	30954
64	4622	30933
65	4685	30807
66	4757	30746
67	4840	30753
68	4907	30653
69	4934	30311
70	4996	30193
71	5062	30092
72	5120	29950
73	5178	29814
74	5247	29736
75	5312	29639
76	5389	29606
77	5451	29494
78	5519	29416
79	5598	29390
80	5635	29151
81	5698	29047
82	5759	28936
83	5822	28836
84	5898	28798
85	5957	28678
86	6023	28596
87	6089	28509
88	6166	28476
89	6229	28377
90	6300	28319
91	6364	28225
92	6431	28145
93	6497	28063
94	6563	27979
95	6637	27934
96	6700	27840
97	6772	27779
98	6851	27753
99	6897	27590
100	6960	27496
101	7031	27437
102	7118	27438
103	7195	27399
104	7274	27365
105	7352	27328
106	7416	27239
107	7487	27177
108	7557	27108
109	7644	27102
110	7711	27026
111	7773	26931
112	7847	26876
113	7925	26834
114	8005	26802
115	8090	26782
116	8162	26720
117	8226	26631
118	8297	26567
119	8359	26471
120	8437	26428
121	8512	26374
122	8580	26300
123	8662	26268
124	8737	26212
125	8805	26137
126	8875	26068
127	8946	25999
128	9023	25952
129	9104	25912
130	9185	25874
131	9246	25777
132	9311	25692
133	9389	25644
134	9452	25556
135	9526	25498
136	9604	25448
137	9676	25382
138	9737	25289
139	9816	25243
140	9901	25210
141	9970	25136
142	10034	25050
143	10115	25006
144	10176	24915
145	10235	24818
146	10315	24770
147	10380	24689
148	10446	24607
149	10526	24561
150	10597	24493
151	10668	24424
152	10748	24376
153	10830	24334
154	10899	24260
155	10976	24205
156	11011	24057
157	11080	23983
158	11161	23938
159	11231	23866
160	11291	23775
161	11374	23731
162	11461	23697
163	11523	23609
164	11590	23532
165	11653	23447
166	11715	23360
167	11761	23242
168	11838	23186
169	11904	23108
170	11989	23067
171	12067	23012
172	12131	22931
173	12193	22845
174	12255	22760
175	12320	22681
176	12399	22626
177	12477	22571
178	12546	22500
179	12613	22423
180	12697	22378
